,t,v
778,1901850.0,352.0
779,1901886.0,353.0
780,1901923.0,352.0
781,1901959.0,352.0
782,1901996.0,353.0
783,1902033.0,352.0
784,1902070.0,351.0
785,1902106.0,354.0
786,1902142.0,352.0
787,1902183.0,352.0
788,1902220.0,352.0
789,1902256.0,353.0
790,1902293.0,351.0
791,1902329.0,352.0
792,1902366.0,354.0
793,1902402.0,353.0
794,1902438.0,352.0
795,1902475.0,352.0
796,1902511.0,352.0
797,1902548.0,352.0
798,1902584.0,352.0
799,1902621.0,352.0
800,1902657.0,353.0
801,1902694.0,353.0
802,1902730.0,354.0
803,1902767.0,355.0
804,1902803.0,352.0
805,1902840.0,353.0
806,1902876.0,355.0
807,1902913.0,352.0
808,1902949.0,352.0
809,1902986.0,355.0
810,1903022.0,352.0
811,1903059.0,354.0
812,1903095.0,352.0
813,1903132.0,353.0
814,1903172.0,353.0
815,1903209.0,354.0
816,1903245.0,352.0
817,1903282.0,353.0
818,1903318.0,354.0
819,1903354.0,353.0
820,1903391.0,352.0
821,1903427.0,354.0
822,1903464.0,353.0
823,1903500.0,353.0
824,1903537.0,356.0
825,1903573.0,354.0
826,1903610.0,353.0
827,1903646.0,356.0
828,1903683.0,353.0
829,1903719.0,355.0
830,1903755.0,355.0
831,1903792.0,355.0
832,1903828.0,353.0
833,1903865.0,354.0
834,1903901.0,354.0
835,1903938.0,355.0
836,1903974.0,352.0
837,1904015.0,355.0
838,1904051.0,355.0
839,1904088.0,355.0
840,1904124.0,355.0
841,1904165.0,355.0
842,1904201.0,356.0
843,1904238.0,356.0
844,1904274.0,354.0
845,1904310.0,355.0
846,1904347.0,357.0
847,1904383.0,355.0
848,1904420.0,356.0
849,1904456.0,358.0
850,1904492.0,354.0
851,1904529.0,356.0
852,1904565.0,355.0
853,1904602.0,355.0
854,1904638.0,356.0
855,1904674.0,356.0
856,1904711.0,357.0
857,1904747.0,354.0
858,1904783.0,355.0
859,1904820.0,355.0
860,1904856.0,359.0
861,1904893.0,355.0
862,1904929.0,357.0
863,1904966.0,357.0
864,1905003.0,356.0
865,1905041.0,355.0
866,1905077.0,357.0
867,1905113.0,355.0
868,1905154.0,355.0
869,1905190.0,355.0
870,1905226.0,359.0
871,1905263.0,355.0
